"TIME","GEO","CITIZEN","UNIT","Value"
"2002","Luxembourg","Total","Person","1,040"
"2002","Hungary","Total","Person","6,410"
"2002","Malta","Total","Person","350"
"2002","Netherlands","Total","Person","18,665"
"2002","Austria","Total","Person","39,355"
"2002","Poland","Total","Person","5,170"
"2002","Portugal","Total","Person","245"
"2002","Romania","Total","Person","1,000"
"2002","Slovenia","Total","Person","650"
"2002","Slovakia","Total","Person","9,745"
"2002","Finland","Total","Person","3,445"
"2002","Sweden","Total","Person","33,015"
"2002","United Kingdom","Total","Person","103,080"
"2002","Norway","Total","Person","17,480"
"2002","Switzerland","Total","Person","24,430"
"2003","Belgium","Total","Person","13,585"
"2003","Bulgaria","Total","Person","1,320"
"2003","Czech Republic","Total","Person","11,400"
"2003","Denmark","Total","Person","4,390"
"2003","Germany (until 1990 former territory of the FRG)","Total","Person","50,565"
"2003","Estonia","Total","Person","15"
"2003","Ireland","Total","Person","7,485"
"2003","Greece","Total","Person","8,180"
"2003","Spain","Total","Person","5,765"
"2003","France","Total","Person","59,770"
"2003","Italy","Total","Person","13,705"
"2003","Cyprus","Total","Person","4,405"
"2003","Latvia","Total","Person","5"
"2003","Lithuania","Total","Person","395"
"2003","Luxembourg","Total","Person","1,550"
"2003","Hungary","Total","Person","2,400"
"2003","Malta","Total","Person","455"
"2003","Netherlands","Total","Person","13,400"
"2003","Austria","Total","Person","32,360"
"2003","Poland","Total","Person","6,810"
"2003","Portugal","Total","Person","115"
"2003","Romania","Total","Person","885"
"2003","Slovenia","Total","Person","1,050"
"2003","Slovakia","Total","Person","10,300"
"2003","Finland","Total","Person","3,090"
"2003","Sweden","Total","Person","31,355"
"2003","United Kingdom","Total","Person","60,045"
"2003","Norway","Total","Person","16,020"
"2003","Switzerland","Total","Person","19,545"
"2004","Belgium","Total","Person","12,400"
"2004","Bulgaria","Total","Person","985"
"2004","Czech Republic","Total","Person","5,300"
"2004","Denmark","Total","Person","3,235"
"2004","Germany (until 1990 former territory of the FRG)","Total","Person","35,605"
"2004","Estonia","Total","Person","10"
"2004","Ireland","Total","Person","4,265"
"2004","Greece","Total","Person","4,470"
"2004","Spain","Total","Person","5,365"
"2004","France","Total","Person","58,545"
"2004","Italy","Total","Person","9,630"
"2004","Cyprus","Total","Person","9,675"
"2004","Latvia","Total","Person","5"
"2004","Lithuania","Total","Person","165"
"2004","Luxembourg","Total","Person","1,575"
"2004","Hungary","Total","Person","1,600"
"2004","Malta","Total","Person","995"
"2004","Netherlands","Total","Person","9,780"
"2004","Austria","Total","Person","24,635"
"2004","Poland","Total","Person","7,925"
"2004","Portugal","Total","Person","115"
"2004","Romania","Total","Person","545"
"2004","Slovenia","Total","Person","1,090"
"2004","Slovakia","Total","Person","11,395"
