"TIME","GEO","CITIZEN","SEX","AGE","ASYL_APP","UNIT","Value"
"2011","Belgium","Total","Total","Total","First time applicant","Person","25,585"
"2011","Bulgaria","Total","Total","Total","First time applicant","Person","705"
"2011","Czech Republic","Total","Total","Total","First time applicant","Person","485"
"2011","Denmark","Total","Total","Total","First time applicant","Person","3,985"
"2011","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","45,740"
"2011","Estonia","Total","Total","Total","First time applicant","Person","65"
"2011","Ireland","Total","Total","Total","First time applicant","Person","1,280"
"2011","Greece","Total","Total","Total","First time applicant","Person","9,310"
"2011","Spain","Total","Total","Total","First time applicant","Person","2,975"
"2011","France","Total","Total","Total","First time applicant","Person","52,140"
"2011","Italy","Total","Total","Total","First time applicant","Person","40,355"
"2011","Cyprus","Total","Total","Total","First time applicant","Person","1,745"
"2011","Latvia","Total","Total","Total","First time applicant","Person","335"
"2011","Lithuania","Total","Total","Total","First time applicant","Person","405"
"2011","Luxembourg","Total","Total","Total","First time applicant","Person","1,920"
"2011","Hungary","Total","Total","Total","First time applicant","Person",":"
"2011","Malta","Total","Total","Total","First time applicant","Person","1,865"
"2011","Netherlands","Total","Total","Total","First time applicant","Person","11,565"
"2011","Austria","Total","Total","Total","First time applicant","Person",":"
"2011","Poland","Total","Total","Total","First time applicant","Person","4,985"
"2011","Portugal","Total","Total","Total","First time applicant","Person","275"
"2011","Romania","Total","Total","Total","First time applicant","Person","1,695"
"2011","Slovenia","Total","Total","Total","First time applicant","Person","305"
"2011","Slovakia","Total","Total","Total","First time applicant","Person","320"
"2011","Finland","Total","Total","Total","First time applicant","Person",":"
"2011","Sweden","Total","Total","Total","First time applicant","Person","29,690"
"2011","United Kingdom","Total","Total","Total","First time applicant","Person","25,900"
"2011","Norway","Total","Total","Total","First time applicant","Person","8,575"
"2011","Switzerland","Total","Total","Total","First time applicant","Person","19,445"
"2012","Belgium","Total","Total","Total","First time applicant","Person","18,450"
"2012","Bulgaria","Total","Total","Total","First time applicant","Person","1,230"
"2012","Czech Republic","Total","Total","Total","First time applicant","Person","515"
"2012","Denmark","Total","Total","Total","First time applicant","Person","6,075"
"2012","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","64,540"
"2012","Estonia","Total","Total","Total","First time applicant","Person","75"
"2012","Ireland","Total","Total","Total","First time applicant","Person","940"
"2012","Greece","Total","Total","Total","First time applicant","Person","9,575"
"2012","Spain","Total","Total","Total","First time applicant","Person","2,355"
"2012","France","Total","Total","Total","First time applicant","Person","54,280"
"2012","Italy","Total","Total","Total","First time applicant","Person","17,185"
"2012","Cyprus","Total","Total","Total","First time applicant","Person","1,590"
"2012","Latvia","Total","Total","Total","First time applicant","Person","190"
"2012","Lithuania","Total","Total","Total","First time applicant","Person","560"
"2012","Luxembourg","Total","Total","Total","First time applicant","Person","2,000"
"2012","Hungary","Total","Total","Total","First time applicant","Person",":"
"2012","Malta","Total","Total","Total","First time applicant","Person","2,060"
"2012","Netherlands","Total","Total","Total","First time applicant","Person","9,665"
"2012","Austria","Total","Total","Total","First time applicant","Person",":"
"2012","Poland","Total","Total","Total","First time applicant","Person","9,175"
"2012","Portugal","Total","Total","Total","First time applicant","Person","290"
"2012","Romania","Total","Total","Total","First time applicant","Person","2,420"
"2012","Slovenia","Total","Total","Total","First time applicant","Person","260"
"2012","Slovakia","Total","Total","Total","First time applicant","Person","550"
"2012","Finland","Total","Total","Total","First time applicant","Person","2,920"
"2012","Sweden","Total","Total","Total","First time applicant","Person","43,930"
"2012","United Kingdom","Total","Total","Total","First time applicant","Person","27,980"
"2012","Norway","Total","Total","Total","First time applicant","Person","9,310"
"2012","Switzerland","Total","Total","Total","First time applicant","Person","25,965"
"2013","Belgium","Total","Total","Total","First time applicant","Person","12,080"
"2013","Bulgaria","Total","Total","Total","First time applicant","Person","6,980"
"2013","Czech Republic","Total","Total","Total","First time applicant","Person","500"
"2013","Denmark","Total","Total","Total","First time applicant","Person","7,230"
"2013","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","109,580"
"2013","Estonia","Total","Total","Total","First time applicant","Person","95"
"2013","Ireland","Total","Total","Total","First time applicant","Person","940"
"2013","Greece","Total","Total","Total","First time applicant","Person","7,860"
"2013","Spain","Total","Total","Total","First time applicant","Person","4,290"
"2013","France","Total","Total","Total","First time applicant","Person","60,475"
"2013","Italy","Total","Total","Total","First time applicant","Person","25,720"
"2013","Cyprus","Total","Total","Total","First time applicant","Person","1,150"
"2013","Latvia","Total","Total","Total","First time applicant","Person","185"
"2013","Lithuania","Total","Total","Total","First time applicant","Person","250"
"2013","Luxembourg","Total","Total","Total","First time applicant","Person","990"
"2013","Hungary","Total","Total","Total","First time applicant","Person","18,570"
"2013","Malta","Total","Total","Total","First time applicant","Person","2,205"
"2013","Netherlands","Total","Total","Total","First time applicant","Person","9,840"
"2013","Austria","Total","Total","Total","First time applicant","Person",":"
"2013","Poland","Total","Total","Total","First time applicant","Person","13,975"
"2013","Portugal","Total","Total","Total","First time applicant","Person","505"
"2013","Romania","Total","Total","Total","First time applicant","Person","1,405"
"2013","Slovenia","Total","Total","Total","First time applicant","Person","240"
"2013","Slovakia","Total","Total","Total","First time applicant","Person","290"
"2013","Finland","Total","Total","Total","First time applicant","Person","2,995"
"2013","Sweden","Total","Total","Total","First time applicant","Person","54,350"
"2013","United Kingdom","Total","Total","Total","First time applicant","Person","29,875"
"2013","Norway","Total","Total","Total","First time applicant","Person","11,475"
"2013","Switzerland","Total","Total","Total","First time applicant","Person","19,440"
"2014","Belgium","Total","Total","Total","First time applicant","Person","14,130"
"2014","Bulgaria","Total","Total","Total","First time applicant","Person","10,805"
"2014","Czech Republic","Total","Total","Total","First time applicant","Person","915"
"2014","Denmark","Total","Total","Total","First time applicant","Person","14,565"
"2014","Germany (until 1990 former territory of the FRG)","Total","Total","Total","First time applicant","Person","173,070"
"2014","Estonia","Total","Total","Total","First time applicant","Person","145"
"2014","Ireland","Total","Total","Total","First time applicant","Person","1,440"
"2014","Greece","Total","Total","Total","First time applicant","Person","7,590"
"2014","Spain","Total","Total","Total","First time applicant","Person","5,460"
"2014","France","Total","Total","Total","First time applicant","Person","58,845"
"2014","Italy","Total","Total","Total","First time applicant","Person","63,655"
"2014","Cyprus","Total","Total","Total","First time applicant","Person","1,480"
"2014","Latvia","Total","Total","Total","First time applicant","Person","365"
"2014","Lithuania","Total","Total","Total","First time applicant","Person","385"
"2014","Luxembourg","Total","Total","Total","First time applicant","Person","1,030"
"2014","Hungary","Total","Total","Total","First time applicant","Person","41,215"
"2014","Malta","Total","Total","Total","First time applicant","Person","1,275"
"2014","Netherlands","Total","Total","Total","First time applicant","Person","21,810"
"2014","Austria","Total","Total","Total","First time applicant","Person","25,700"
"2014","Poland","Total","Total","Total","First time applicant","Person","5,610"
"2014","Portugal","Total","Total","Total","First time applicant","Person","445"
"2014","Romania","Total","Total","Total","First time applicant","Person","1,500"
"2014","Slovenia","Total","Total","Total","First time applicant","Person","355"
"2014","Slovakia","Total","Total","Total","First time applicant","Person","230"
"2014","Finland","Total","Total","Total","First time applicant","Person","3,495"
"2014","Sweden","Total","Total","Total","First time applicant","Person","75,090"
"2014","United Kingdom","Total","Total","Total","First time applicant","Person","32,345"
"2014","Norway","Total","Total","Total","First time applicant","Person","10,970"
"2014","Switzerland","Total","Total","Total","First time applicant","Person","22,130"
"2015","Belgium","Total","Total","Total","First time applicant","Person","39,065"
"2015","Bulgaria","Total","Total","Total","First time applicant","Person","20,165"
"2015","Czech Republic","Total","Total","Total","First time applicant","Person","1,240"
