"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value"
"2008Q3","Poland","Total","Total","Total","Geneva Convention status","Person","40"
"2008Q3","Portugal","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q3","Romania","Total","Total","Total","Geneva Convention status","Person","20"
"2008Q3","Slovenia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q3","Slovakia","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q3","Finland","Total","Total","Total","Geneva Convention status","Person","10"
"2008Q3","Sweden","Total","Total","Total","Geneva Convention status","Person","380"
"2008Q3","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,125"
"2008Q3","Norway","Total","Total","Total","Geneva Convention status","Person","190"
"2008Q4","Belgium","Total","Total","Total","Geneva Convention status","Person","725"
"2008Q4","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q4","Czech Republic","Total","Total","Total","Geneva Convention status","Person","30"
"2008Q4","Denmark","Total","Total","Total","Geneva Convention status","Person","35"
"2008Q4","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","1,820"
"2008Q4","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q4","Ireland","Total","Total","Total","Geneva Convention status","Person","45"
"2008Q4","Greece","Total","Total","Total","Geneva Convention status","Person","10"
"2008Q4","Spain","Total","Total","Total","Geneva Convention status","Person","50"
"2008Q4","France","Total","Total","Total","Geneva Convention status","Person","970"
"2008Q4","Italy","Total","Total","Total","Geneva Convention status","Person","560"
"2008Q4","Cyprus","Total","Total","Total","Geneva Convention status","Person",":"
"2008Q4","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q4","Lithuania","Total","Total","Total","Geneva Convention status","Person","5"
"2008Q4","Luxembourg","Total","Total","Total","Geneva Convention status","Person","10"
"2008Q4","Hungary","Total","Total","Total","Geneva Convention status","Person","25"
"2008Q4","Malta","Total","Total","Total","Geneva Convention status","Person","10"
"2008Q4","Netherlands","Total","Total","Total","Geneva Convention status","Person","90"
"2008Q4","Austria","Total","Total","Total","Geneva Convention status","Person","450"
"2008Q4","Poland","Total","Total","Total","Geneva Convention status","Person","85"
"2008Q4","Portugal","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q4","Romania","Total","Total","Total","Geneva Convention status","Person","10"
"2008Q4","Slovenia","Total","Total","Total","Geneva Convention status","Person","0"
"2008Q4","Slovakia","Total","Total","Total","Geneva Convention status","Person","15"
"2008Q4","Finland","Total","Total","Total","Geneva Convention status","Person","20"
"2008Q4","Sweden","Total","Total","Total","Geneva Convention status","Person","610"
"2008Q4","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,205"
"2008Q4","Norway","Total","Total","Total","Geneva Convention status","Person","455"
"2009Q1","Belgium","Total","Total","Total","Geneva Convention status","Person","610"
"2009Q1","Bulgaria","Total","Total","Total","Geneva Convention status","Person","10"
"2009Q1","Czech Republic","Total","Total","Total","Geneva Convention status","Person","30"
"2009Q1","Denmark","Total","Total","Total","Geneva Convention status","Person","25"
"2009Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","2,005"
"2009Q1","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q1","Ireland","Total","Total","Total","Geneva Convention status","Person","40"
"2009Q1","Greece","Total","Total","Total","Geneva Convention status","Person","5"
"2009Q1","Spain","Total","Total","Total","Geneva Convention status","Person","35"
"2009Q1","France","Total","Total","Total","Geneva Convention status","Person","1,020"
"2009Q1","Italy","Total","Total","Total","Geneva Convention status","Person","605"
"2009Q1","Cyprus","Total","Total","Total","Geneva Convention status","Person","20"
"2009Q1","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q1","Lithuania","Total","Total","Total","Geneva Convention status","Person","10"
"2009Q1","Luxembourg","Total","Total","Total","Geneva Convention status","Person","30"
"2009Q1","Hungary","Total","Total","Total","Geneva Convention status","Person","35"
"2009Q1","Malta","Total","Total","Total","Geneva Convention status","Person","5"
"2009Q1","Netherlands","Total","Total","Total","Geneva Convention status","Person","125"
"2009Q1","Austria","Total","Total","Total","Geneva Convention status","Person","445"
"2009Q1","Poland","Total","Total","Total","Geneva Convention status","Person","60"
"2009Q1","Portugal","Total","Total","Total","Geneva Convention status","Person","5"
"2009Q1","Romania","Total","Total","Total","Geneva Convention status","Person","20"
"2009Q1","Slovenia","Total","Total","Total","Geneva Convention status","Person","0"
"2009Q1","Slovakia","Total","Total","Total","Geneva Convention status","Person","5"
"2009Q1","Finland","Total","Total","Total","Geneva Convention status","Person","5"
"2009Q1","Sweden","Total","Total","Total","Geneva Convention status","Person","350"
"2009Q1","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,975"
"2009Q1","Norway","Total","Total","Total","Geneva Convention status","Person","460"
"2009Q2","Belgium","Total","Total","Total","Geneva Convention status","Person","585"
"2009Q2","Bulgaria","Total","Total","Total","Geneva Convention status","Person","10"
"2009Q2","Czech Republic","Total","Total","Total","Geneva Convention status","Person","15"
"2009Q2","Denmark","Total","Total","Total","Geneva Convention status","Person","40"
"2009Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","2,375"
"2009Q2","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
