"TIME","GEO","CITIZEN","SEX","AGE","DECISION","UNIT","Value"
"2011Q2","Italy","Total","Total","Total","Geneva Convention status","Person","445"
"2011Q2","Cyprus","Total","Total","Total","Geneva Convention status","Person","25"
"2011Q2","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q2","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q2","Luxembourg","Total","Total","Total","Geneva Convention status","Person","10"
"2011Q2","Hungary","Total","Total","Total","Geneva Convention status","Person","10"
"2011Q2","Malta","Total","Total","Total","Geneva Convention status","Person","20"
"2011Q2","Netherlands","Total","Total","Total","Geneva Convention status","Person","205"
"2011Q2","Austria","Total","Total","Total","Geneva Convention status","Person","560"
"2011Q2","Poland","Total","Total","Total","Geneva Convention status","Person","50"
"2011Q2","Portugal","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q2","Romania","Total","Total","Total","Geneva Convention status","Person","10"
"2011Q2","Slovenia","Total","Total","Total","Geneva Convention status","Person","5"
"2011Q2","Slovakia","Total","Total","Total","Geneva Convention status","Person","5"
"2011Q2","Finland","Total","Total","Total","Geneva Convention status","Person","20"
"2011Q2","Sweden","Total","Total","Total","Geneva Convention status","Person","500"
"2011Q2","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,210"
"2011Q2","Norway","Total","Total","Total","Geneva Convention status","Person","620"
"2011Q3","Belgium","Total","Total","Total","Geneva Convention status","Person","1,065"
"2011Q3","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2011Q3","Czech Republic","Total","Total","Total","Geneva Convention status","Person","20"
"2011Q3","Denmark","Total","Total","Total","Geneva Convention status","Person","220"
"2011Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","1,885"
"2011Q3","Estonia","Total","Total","Total","Geneva Convention status","Person","5"
"2011Q3","Ireland","Total","Total","Total","Geneva Convention status","Person","10"
"2011Q3","Greece","Total","Total","Total","Geneva Convention status","Person","5"
"2011Q3","Spain","Total","Total","Total","Geneva Convention status","Person","80"
"2011Q3","France","Total","Total","Total","Geneva Convention status","Person","770"
"2011Q3","Italy","Total","Total","Total","Geneva Convention status","Person","585"
"2011Q3","Cyprus","Total","Total","Total","Geneva Convention status","Person","20"
"2011Q3","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q3","Lithuania","Total","Total","Total","Geneva Convention status","Person","5"
"2011Q3","Luxembourg","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q3","Hungary","Total","Total","Total","Geneva Convention status","Person","10"
"2011Q3","Malta","Total","Total","Total","Geneva Convention status","Person","25"
"2011Q3","Netherlands","Total","Total","Total","Geneva Convention status","Person","165"
"2011Q3","Austria","Total","Total","Total","Geneva Convention status","Person","680"
"2011Q3","Poland","Total","Total","Total","Geneva Convention status","Person","35"
"2011Q3","Portugal","Total","Total","Total","Geneva Convention status","Person","10"
"2011Q3","Romania","Total","Total","Total","Geneva Convention status","Person","25"
"2011Q3","Slovenia","Total","Total","Total","Geneva Convention status","Person","10"
"2011Q3","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q3","Finland","Total","Total","Total","Geneva Convention status","Person","25"
"2011Q3","Sweden","Total","Total","Total","Geneva Convention status","Person","565"
"2011Q3","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,475"
"2011Q3","Norway","Total","Total","Total","Geneva Convention status","Person","505"
"2011Q4","Belgium","Total","Total","Total","Geneva Convention status","Person","1,005"
"2011Q4","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2011Q4","Czech Republic","Total","Total","Total","Geneva Convention status","Person","45"
"2011Q4","Denmark","Total","Total","Total","Geneva Convention status","Person","215"
"2011Q4","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","1,705"
"2011Q4","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q4","Ireland","Total","Total","Total","Geneva Convention status","Person","20"
"2011Q4","Greece","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q4","Spain","Total","Total","Total","Geneva Convention status","Person","90"
"2011Q4","France","Total","Total","Total","Geneva Convention status","Person","835"
"2011Q4","Italy","Total","Total","Total","Geneva Convention status","Person","480"
"2011Q4","Cyprus","Total","Total","Total","Geneva Convention status","Person","5"
"2011Q4","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q4","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q4","Luxembourg","Total","Total","Total","Geneva Convention status","Person","10"
"2011Q4","Hungary","Total","Total","Total","Geneva Convention status","Person","15"
"2011Q4","Malta","Total","Total","Total","Geneva Convention status","Person","20"
"2011Q4","Netherlands","Total","Total","Total","Geneva Convention status","Person","155"
"2011Q4","Austria","Total","Total","Total","Geneva Convention status","Person","645"
"2011Q4","Poland","Total","Total","Total","Geneva Convention status","Person","35"
"2011Q4","Portugal","Total","Total","Total","Geneva Convention status","Person","10"
"2011Q4","Romania","Total","Total","Total","Geneva Convention status","Person","10"
"2011Q4","Slovenia","Total","Total","Total","Geneva Convention status","Person","5"
"2011Q4","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2011Q4","Finland","Total","Total","Total","Geneva Convention status","Person","60"
"2011Q4","Sweden","Total","Total","Total","Geneva Convention status","Person","805"
"2011Q4","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,470"
"2011Q4","Norway","Total","Total","Total","Geneva Convention status","Person","855"
"2012Q1","Belgium","Total","Total","Total","Geneva Convention status","Person","855"
"2012Q1","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q1","Czech Republic","Total","Total","Total","Geneva Convention status","Person","10"
"2012Q1","Denmark","Total","Total","Total","Geneva Convention status","Person","155"
"2012Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","1,915"
"2012Q1","Estonia","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q1","Ireland","Total","Total","Total","Geneva Convention status","Person","15"
"2012Q1","Greece","Total","Total","Total","Geneva Convention status","Person","10"
"2012Q1","Spain","Total","Total","Total","Geneva Convention status","Person","65"
"2012Q1","France","Total","Total","Total","Geneva Convention status","Person","1,765"
"2012Q1","Italy","Total","Total","Total","Geneva Convention status","Person","560"
"2012Q1","Cyprus","Total","Total","Total","Geneva Convention status","Person","35"
"2012Q1","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q1","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q1","Luxembourg","Total","Total","Total","Geneva Convention status","Person","10"
"2012Q1","Hungary","Total","Total","Total","Geneva Convention status","Person","20"
"2012Q1","Malta","Total","Total","Total","Geneva Convention status","Person","10"
"2012Q1","Netherlands","Total","Total","Total","Geneva Convention status","Person","155"
"2012Q1","Austria","Total","Total","Total","Geneva Convention status","Person","625"
"2012Q1","Poland","Total","Total","Total","Geneva Convention status","Person","45"
"2012Q1","Portugal","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q1","Romania","Total","Total","Total","Geneva Convention status","Person","10"
"2012Q1","Slovenia","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q1","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q1","Finland","Total","Total","Total","Geneva Convention status","Person","65"
"2012Q1","Sweden","Total","Total","Total","Geneva Convention status","Person","605"
"2012Q1","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,595"
"2012Q1","Norway","Total","Total","Total","Geneva Convention status","Person","1,260"
"2012Q2","Belgium","Total","Total","Total","Geneva Convention status","Person","985"
"2012Q2","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q2","Czech Republic","Total","Total","Total","Geneva Convention status","Person","10"
"2012Q2","Denmark","Total","Total","Total","Geneva Convention status","Person","245"
"2012Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","2,540"
"2012Q2","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q2","Ireland","Total","Total","Total","Geneva Convention status","Person","10"
"2012Q2","Greece","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q2","Spain","Total","Total","Total","Geneva Convention status","Person","60"
"2012Q2","France","Total","Total","Total","Geneva Convention status","Person","1,780"
"2012Q2","Italy","Total","Total","Total","Geneva Convention status","Person","600"
"2012Q2","Cyprus","Total","Total","Total","Geneva Convention status","Person","15"
"2012Q2","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q2","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q2","Luxembourg","Total","Total","Total","Geneva Convention status","Person","10"
"2012Q2","Hungary","Total","Total","Total","Geneva Convention status","Person","15"
"2012Q2","Malta","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q2","Netherlands","Total","Total","Total","Geneva Convention status","Person","115"
"2012Q2","Austria","Total","Total","Total","Geneva Convention status","Person","635"
"2012Q2","Poland","Total","Total","Total","Geneva Convention status","Person","20"
"2012Q2","Portugal","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q2","Romania","Total","Total","Total","Geneva Convention status","Person","50"
"2012Q2","Slovenia","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q2","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q2","Finland","Total","Total","Total","Geneva Convention status","Person","130"
"2012Q2","Sweden","Total","Total","Total","Geneva Convention status","Person","825"
"2012Q2","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,375"
"2012Q2","Norway","Total","Total","Total","Geneva Convention status","Person","585"
"2012Q3","Belgium","Total","Total","Total","Geneva Convention status","Person","945"
"2012Q3","Bulgaria","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q3","Czech Republic","Total","Total","Total","Geneva Convention status","Person","20"
"2012Q3","Denmark","Total","Total","Total","Geneva Convention status","Person","230"
"2012Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","2,265"
"2012Q3","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q3","Ireland","Total","Total","Total","Geneva Convention status","Person","15"
"2012Q3","Greece","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q3","Spain","Total","Total","Total","Geneva Convention status","Person","40"
"2012Q3","France","Total","Total","Total","Geneva Convention status","Person","1,530"
"2012Q3","Italy","Total","Total","Total","Geneva Convention status","Person","230"
"2012Q3","Cyprus","Total","Total","Total","Geneva Convention status","Person","25"
"2012Q3","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q3","Lithuania","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q3","Luxembourg","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q3","Hungary","Total","Total","Total","Geneva Convention status","Person","10"
"2012Q3","Malta","Total","Total","Total","Geneva Convention status","Person","15"
"2012Q3","Netherlands","Total","Total","Total","Geneva Convention status","Person","125"
"2012Q3","Austria","Total","Total","Total","Geneva Convention status","Person","675"
"2012Q3","Poland","Total","Total","Total","Geneva Convention status","Person","10"
"2012Q3","Portugal","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q3","Romania","Total","Total","Total","Geneva Convention status","Person","50"
"2012Q3","Slovenia","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q3","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q3","Finland","Total","Total","Total","Geneva Convention status","Person","170"
"2012Q3","Sweden","Total","Total","Total","Geneva Convention status","Person","810"
"2012Q3","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,775"
"2012Q3","Norway","Total","Total","Total","Geneva Convention status","Person","700"
"2012Q4","Belgium","Total","Total","Total","Geneva Convention status","Person","1,205"
"2012Q4","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q4","Czech Republic","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q4","Denmark","Total","Total","Total","Geneva Convention status","Person","405"
"2012Q4","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","2,040"
"2012Q4","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q4","Ireland","Total","Total","Total","Geneva Convention status","Person","25"
"2012Q4","Greece","Total","Total","Total","Geneva Convention status","Person","20"
"2012Q4","Spain","Total","Total","Total","Geneva Convention status","Person","60"
"2012Q4","France","Total","Total","Total","Geneva Convention status","Person","1,995"
"2012Q4","Italy","Total","Total","Total","Geneva Convention status","Person","660"
"2012Q4","Cyprus","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q4","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2012Q4","Lithuania","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q4","Luxembourg","Total","Total","Total","Geneva Convention status","Person","15"
"2012Q4","Hungary","Total","Total","Total","Geneva Convention status","Person","25"
"2012Q4","Malta","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q4","Netherlands","Total","Total","Total","Geneva Convention status","Person","235"
"2012Q4","Austria","Total","Total","Total","Geneva Convention status","Person","745"
"2012Q4","Poland","Total","Total","Total","Geneva Convention status","Person","10"
"2012Q4","Portugal","Total","Total","Total","Geneva Convention status","Person","10"
"2012Q4","Romania","Total","Total","Total","Geneva Convention status","Person","40"
"2012Q4","Slovenia","Total","Total","Total","Geneva Convention status","Person","10"
"2012Q4","Slovakia","Total","Total","Total","Geneva Convention status","Person","5"
"2012Q4","Finland","Total","Total","Total","Geneva Convention status","Person","185"
"2012Q4","Sweden","Total","Total","Total","Geneva Convention status","Person","1,505"
"2012Q4","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,810"
"2012Q4","Norway","Total","Total","Total","Geneva Convention status","Person","1,130"
"2013Q1","Belgium","Total","Total","Total","Geneva Convention status","Person","960"
"2013Q1","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2013Q1","Czech Republic","Total","Total","Total","Geneva Convention status","Person","35"
"2013Q1","Denmark","Total","Total","Total","Geneva Convention status","Person","260"
"2013Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","2,330"
"2013Q1","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q1","Ireland","Total","Total","Total","Geneva Convention status","Person","25"
"2013Q1","Greece","Total","Total","Total","Geneva Convention status","Person","15"
"2013Q1","Spain","Total","Total","Total","Geneva Convention status","Person","35"
"2013Q1","France","Total","Total","Total","Geneva Convention status","Person","1,865"
"2013Q1","Italy","Total","Total","Total","Geneva Convention status","Person","665"
"2013Q1","Cyprus","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q1","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q1","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q1","Luxembourg","Total","Total","Total","Geneva Convention status","Person","15"
"2013Q1","Hungary","Total","Total","Total","Geneva Convention status","Person","20"
"2013Q1","Malta","Total","Total","Total","Geneva Convention status","Person","15"
"2013Q1","Netherlands","Total","Total","Total","Geneva Convention status","Person","300"
"2013Q1","Austria","Total","Total","Total","Geneva Convention status","Person","670"
"2013Q1","Poland","Total","Total","Total","Geneva Convention status","Person","30"
"2013Q1","Portugal","Total","Total","Total","Geneva Convention status","Person","5"
"2013Q1","Romania","Total","Total","Total","Geneva Convention status","Person","65"
"2013Q1","Slovenia","Total","Total","Total","Geneva Convention status","Person","5"
"2013Q1","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q1","Finland","Total","Total","Total","Geneva Convention status","Person","170"
"2013Q1","Sweden","Total","Total","Total","Geneva Convention status","Person","1,370"
"2013Q1","United Kingdom","Total","Total","Total","Geneva Convention status","Person","2,400"
"2013Q1","Norway","Total","Total","Total","Geneva Convention status","Person","990"
"2013Q2","Belgium","Total","Total","Total","Geneva Convention status","Person","875"
"2013Q2","Bulgaria","Total","Total","Total","Geneva Convention status","Person","5"
"2013Q2","Czech Republic","Total","Total","Total","Geneva Convention status","Person","15"
"2013Q2","Denmark","Total","Total","Total","Geneva Convention status","Person","220"
"2013Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","2,450"
"2013Q2","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q2","Ireland","Total","Total","Total","Geneva Convention status","Person","50"
"2013Q2","Greece","Total","Total","Total","Geneva Convention status","Person","5"
"2013Q2","Spain","Total","Total","Total","Geneva Convention status","Person","40"
"2013Q2","France","Total","Total","Total","Geneva Convention status","Person","2,600"
"2013Q2","Italy","Total","Total","Total","Geneva Convention status","Person","825"
"2013Q2","Cyprus","Total","Total","Total","Geneva Convention status","Person","15"
"2013Q2","Latvia","Total","Total","Total","Geneva Convention status","Person","5"
"2013Q2","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q2","Luxembourg","Total","Total","Total","Geneva Convention status","Person","35"
"2013Q2","Hungary","Total","Total","Total","Geneva Convention status","Person","35"
"2013Q2","Malta","Total","Total","Total","Geneva Convention status","Person","10"
"2013Q2","Netherlands","Total","Total","Total","Geneva Convention status","Person","225"
"2013Q2","Austria","Total","Total","Total","Geneva Convention status","Person","730"
"2013Q2","Poland","Total","Total","Total","Geneva Convention status","Person","55"
"2013Q2","Portugal","Total","Total","Total","Geneva Convention status","Person","5"
"2013Q2","Romania","Total","Total","Total","Geneva Convention status","Person","130"
"2013Q2","Slovenia","Total","Total","Total","Geneva Convention status","Person","10"
"2013Q2","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q2","Finland","Total","Total","Total","Geneva Convention status","Person","110"
"2013Q2","Sweden","Total","Total","Total","Geneva Convention status","Person","1,865"
"2013Q2","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,970"
"2013Q2","Norway","Total","Total","Total","Geneva Convention status","Person","850"
"2013Q3","Belgium","Total","Total","Total","Geneva Convention status","Person","1,045"
"2013Q3","Bulgaria","Total","Total","Total","Geneva Convention status","Person","10"
"2013Q3","Czech Republic","Total","Total","Total","Geneva Convention status","Person","20"
"2013Q3","Denmark","Total","Total","Total","Geneva Convention status","Person","340"
"2013Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","2,940"
"2013Q3","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q3","Ireland","Total","Total","Total","Geneva Convention status","Person","30"
"2013Q3","Greece","Total","Total","Total","Geneva Convention status","Person","20"
"2013Q3","Spain","Total","Total","Total","Geneva Convention status","Person","30"
"2013Q3","France","Total","Total","Total","Geneva Convention status","Person","2,175"
"2013Q3","Italy","Total","Total","Total","Geneva Convention status","Person","740"
"2013Q3","Cyprus","Total","Total","Total","Geneva Convention status","Person","10"
"2013Q3","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q3","Lithuania","Total","Total","Total","Geneva Convention status","Person","10"
"2013Q3","Luxembourg","Total","Total","Total","Geneva Convention status","Person","35"
"2013Q3","Hungary","Total","Total","Total","Geneva Convention status","Person","50"
"2013Q3","Malta","Total","Total","Total","Geneva Convention status","Person","5"
"2013Q3","Netherlands","Total","Total","Total","Geneva Convention status","Person","265"
"2013Q3","Austria","Total","Total","Total","Geneva Convention status","Person","810"
"2013Q3","Poland","Total","Total","Total","Geneva Convention status","Person","60"
"2013Q3","Portugal","Total","Total","Total","Geneva Convention status","Person","5"
"2013Q3","Romania","Total","Total","Total","Geneva Convention status","Person","115"
"2013Q3","Slovenia","Total","Total","Total","Geneva Convention status","Person","5"
"2013Q3","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q3","Finland","Total","Total","Total","Geneva Convention status","Person","135"
"2013Q3","Sweden","Total","Total","Total","Geneva Convention status","Person","1,565"
"2013Q3","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,750"
"2013Q3","Norway","Total","Total","Total","Geneva Convention status","Person","1,035"
"2013Q4","Belgium","Total","Total","Total","Geneva Convention status","Person","1,025"
"2013Q4","Bulgaria","Total","Total","Total","Geneva Convention status","Person","160"
"2013Q4","Czech Republic","Total","Total","Total","Geneva Convention status","Person","20"
"2013Q4","Denmark","Total","Total","Total","Geneva Convention status","Person","780"
"2013Q4","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","3,195"
"2013Q4","Estonia","Total","Total","Total","Geneva Convention status","Person","5"
"2013Q4","Ireland","Total","Total","Total","Geneva Convention status","Person","25"
"2013Q4","Greece","Total","Total","Total","Geneva Convention status","Person","220"
"2013Q4","Spain","Total","Total","Total","Geneva Convention status","Person","95"
"2013Q4","France","Total","Total","Total","Geneva Convention status","Person","2,500"
"2013Q4","Italy","Total","Total","Total","Geneva Convention status","Person","850"
"2013Q4","Cyprus","Total","Total","Total","Geneva Convention status","Person","10"
"2013Q4","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q4","Lithuania","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q4","Luxembourg","Total","Total","Total","Geneva Convention status","Person","25"
"2013Q4","Hungary","Total","Total","Total","Geneva Convention status","Person","70"
"2013Q4","Malta","Total","Total","Total","Geneva Convention status","Person","15"
"2013Q4","Netherlands","Total","Total","Total","Geneva Convention status","Person","360"
"2013Q4","Austria","Total","Total","Total","Geneva Convention status","Person","955"
"2013Q4","Poland","Total","Total","Total","Geneva Convention status","Person","55"
"2013Q4","Portugal","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q4","Romania","Total","Total","Total","Geneva Convention status","Person","75"
"2013Q4","Slovenia","Total","Total","Total","Geneva Convention status","Person","5"
"2013Q4","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2013Q4","Finland","Total","Total","Total","Geneva Convention status","Person","160"
"2013Q4","Sweden","Total","Total","Total","Geneva Convention status","Person","1,955"
"2013Q4","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,405"
"2013Q4","Norway","Total","Total","Total","Geneva Convention status","Person","1,615"
"2014Q1","Belgium","Total","Total","Total","Geneva Convention status","Person","1,245"
"2014Q1","Bulgaria","Total","Total","Total","Geneva Convention status","Person","1,495"
"2014Q1","Czech Republic","Total","Total","Total","Geneva Convention status","Person","10"
"2014Q1","Denmark","Total","Total","Total","Geneva Convention status","Person","535"
"2014Q1","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","5,665"
"2014Q1","Estonia","Total","Total","Total","Geneva Convention status","Person","0"
"2014Q1","Ireland","Total","Total","Total","Geneva Convention status","Person","30"
"2014Q1","Greece","Total","Total","Total","Geneva Convention status","Person","230"
"2014Q1","Spain","Total","Total","Total","Geneva Convention status","Person","55"
"2014Q1","France","Total","Total","Total","Geneva Convention status","Person","2,765"
"2014Q1","Italy","Total","Total","Total","Geneva Convention status","Person","935"
"2014Q1","Cyprus","Total","Total","Total","Geneva Convention status","Person","5"
"2014Q1","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2014Q1","Lithuania","Total","Total","Total","Geneva Convention status","Person","10"
"2014Q1","Luxembourg","Total","Total","Total","Geneva Convention status","Person","25"
"2014Q1","Hungary","Total","Total","Total","Geneva Convention status","Person","45"
"2014Q1","Malta","Total","Total","Total","Geneva Convention status","Person","15"
"2014Q1","Netherlands","Total","Total","Total","Geneva Convention status","Person","330"
"2014Q1","Austria","Total","Total","Total","Geneva Convention status","Person","375"
"2014Q1","Poland","Total","Total","Total","Geneva Convention status","Person","85"
"2014Q1","Portugal","Total","Total","Total","Geneva Convention status","Person","0"
"2014Q1","Romania","Total","Total","Total","Geneva Convention status","Person","75"
"2014Q1","Slovenia","Total","Total","Total","Geneva Convention status","Person","5"
"2014Q1","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2014Q1","Finland","Total","Total","Total","Geneva Convention status","Person","125"
"2014Q1","Sweden","Total","Total","Total","Geneva Convention status","Person","1,930"
"2014Q1","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,180"
"2014Q1","Norway","Total","Total","Total","Geneva Convention status","Person","1,085"
"2014Q2","Belgium","Total","Total","Total","Geneva Convention status","Person","1,325"
"2014Q2","Bulgaria","Total","Total","Total","Geneva Convention status","Person","1,040"
"2014Q2","Czech Republic","Total","Total","Total","Geneva Convention status","Person","25"
"2014Q2","Denmark","Total","Total","Total","Geneva Convention status","Person","660"
"2014Q2","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","6,150"
"2014Q2","Estonia","Total","Total","Total","Geneva Convention status","Person","10"
"2014Q2","Ireland","Total","Total","Total","Geneva Convention status","Person","30"
"2014Q2","Greece","Total","Total","Total","Geneva Convention status","Person","305"
"2014Q2","Spain","Total","Total","Total","Geneva Convention status","Person","120"
"2014Q2","France","Total","Total","Total","Geneva Convention status","Person","2,735"
"2014Q2","Italy","Total","Total","Total","Geneva Convention status","Person","1,155"
"2014Q2","Cyprus","Total","Total","Total","Geneva Convention status","Person","20"
"2014Q2","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2014Q2","Lithuania","Total","Total","Total","Geneva Convention status","Person","5"
"2014Q2","Luxembourg","Total","Total","Total","Geneva Convention status","Person","15"
"2014Q2","Hungary","Total","Total","Total","Geneva Convention status","Person","90"
"2014Q2","Malta","Total","Total","Total","Geneva Convention status","Person","35"
"2014Q2","Netherlands","Total","Total","Total","Geneva Convention status","Person","470"
"2014Q2","Austria","Total","Total","Total","Geneva Convention status","Person","1,175"
"2014Q2","Poland","Total","Total","Total","Geneva Convention status","Person","70"
"2014Q2","Portugal","Total","Total","Total","Geneva Convention status","Person","0"
"2014Q2","Romania","Total","Total","Total","Geneva Convention status","Person","110"
"2014Q2","Slovenia","Total","Total","Total","Geneva Convention status","Person","10"
"2014Q2","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
"2014Q2","Finland","Total","Total","Total","Geneva Convention status","Person","95"
"2014Q2","Sweden","Total","Total","Total","Geneva Convention status","Person","2,125"
"2014Q2","United Kingdom","Total","Total","Total","Geneva Convention status","Person","1,660"
"2014Q2","Norway","Total","Total","Total","Geneva Convention status","Person","535"
"2014Q3","Belgium","Total","Total","Total","Geneva Convention status","Person","1,580"
"2014Q3","Bulgaria","Total","Total","Total","Geneva Convention status","Person","785"
"2014Q3","Czech Republic","Total","Total","Total","Geneva Convention status","Person","20"
"2014Q3","Denmark","Total","Total","Total","Geneva Convention status","Person","1,370"
"2014Q3","Germany (until 1990 former territory of the FRG)","Total","Total","Total","Geneva Convention status","Person","7,615"
"2014Q3","Estonia","Total","Total","Total","Geneva Convention status","Person","5"
"2014Q3","Ireland","Total","Total","Total","Geneva Convention status","Person","20"
"2014Q3","Greece","Total","Total","Total","Geneva Convention status","Person","260"
"2014Q3","Spain","Total","Total","Total","Geneva Convention status","Person","80"
"2014Q3","France","Total","Total","Total","Geneva Convention status","Person","2,570"
"2014Q3","Italy","Total","Total","Total","Geneva Convention status","Person","885"
"2014Q3","Cyprus","Total","Total","Total","Geneva Convention status","Person","20"
"2014Q3","Latvia","Total","Total","Total","Geneva Convention status","Person","0"
"2014Q3","Lithuania","Total","Total","Total","Geneva Convention status","Person","5"
"2014Q3","Luxembourg","Total","Total","Total","Geneva Convention status","Person","10"
"2014Q3","Hungary","Total","Total","Total","Geneva Convention status","Person","60"
"2014Q3","Malta","Total","Total","Total","Geneva Convention status","Person","35"
"2014Q3","Netherlands","Total","Total","Total","Geneva Convention status","Person","635"
"2014Q3","Austria","Total","Total","Total","Geneva Convention status","Person","1,415"
"2014Q3","Poland","Total","Total","Total","Geneva Convention status","Person","45"
"2014Q3","Portugal","Total","Total","Total","Geneva Convention status","Person","5"
"2014Q3","Romania","Total","Total","Total","Geneva Convention status","Person","80"
"2014Q3","Slovenia","Total","Total","Total","Geneva Convention status","Person","10"
"2014Q3","Slovakia","Total","Total","Total","Geneva Convention status","Person","0"
