"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2002M04","Slovenia","Rejected","Total","Person","15"
"2002M04","Slovakia","Rejected","Total","Person",":"
"2002M04","Finland","Rejected","Total","Person","200"
"2002M04","Sweden","Rejected","Total","Person","1,390"
"2002M04","United Kingdom","Rejected","Total","Person","4,455"
"2002M04","Norway","Rejected","Total","Person",":"
"2002M05","Belgium","Rejected","Total","Person",":"
"2002M05","Bulgaria","Rejected","Total","Person","80"
"2002M05","Czech Republic","Rejected","Total","Person","400"
"2002M05","Denmark","Rejected","Total","Person",":"
"2002M05","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","6,680"
"2002M05","Estonia","Rejected","Total","Person","5"
"2002M05","Ireland","Rejected","Total","Person",":"
"2002M05","Greece","Rejected","Total","Person",":"
"2002M05","Spain","Rejected","Total","Person","155"
"2002M05","France","Rejected","Total","Person","3,225"
"2002M05","Italy","Rejected","Total","Person",":"
"2002M05","Cyprus","Rejected","Total","Person",":"
"2002M05","Latvia","Rejected","Total","Person","0"
"2002M05","Lithuania","Rejected","Total","Person","0"
"2002M05","Luxembourg","Rejected","Total","Person",":"
"2002M05","Hungary","Rejected","Total","Person","230"
"2002M05","Malta","Rejected","Total","Person",":"
"2002M05","Netherlands","Rejected","Total","Person","2,740"
"2002M05","Austria","Rejected","Total","Person","300"
"2002M05","Poland","Rejected","Total","Person","255"
"2002M05","Portugal","Rejected","Total","Person","25"
"2002M05","Romania","Rejected","Total","Person",":"
"2002M05","Slovenia","Rejected","Total","Person","5"
"2002M05","Slovakia","Rejected","Total","Person",":"
"2002M05","Finland","Rejected","Total","Person","200"
"2002M05","Sweden","Rejected","Total","Person","1,670"
"2002M05","United Kingdom","Rejected","Total","Person","4,640"
"2002M05","Norway","Rejected","Total","Person",":"
"2002M06","Belgium","Rejected","Total","Person",":"
"2002M06","Bulgaria","Rejected","Total","Person","30"
"2002M06","Czech Republic","Rejected","Total","Person","335"
"2002M06","Denmark","Rejected","Total","Person",":"
"2002M06","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","7,110"
"2002M06","Estonia","Rejected","Total","Person","0"
"2002M06","Ireland","Rejected","Total","Person",":"
"2002M06","Greece","Rejected","Total","Person","180"
"2002M06","Spain","Rejected","Total","Person","410"
"2002M06","France","Rejected","Total","Person","3,615"
"2002M06","Italy","Rejected","Total","Person",":"
"2002M06","Cyprus","Rejected","Total","Person",":"
"2002M06","Latvia","Rejected","Total","Person","0"
"2002M06","Lithuania","Rejected","Total","Person","5"
"2002M06","Luxembourg","Rejected","Total","Person",":"
"2002M06","Hungary","Rejected","Total","Person","175"
"2002M06","Malta","Rejected","Total","Person",":"
"2002M06","Netherlands","Rejected","Total","Person","2,300"
"2002M06","Austria","Rejected","Total","Person","265"
"2002M06","Poland","Rejected","Total","Person","375"
"2002M06","Portugal","Rejected","Total","Person","10"
"2002M06","Romania","Rejected","Total","Person",":"
"2002M06","Slovenia","Rejected","Total","Person","15"
"2002M06","Slovakia","Rejected","Total","Person",":"
"2002M06","Finland","Rejected","Total","Person","510"
"2002M06","Sweden","Rejected","Total","Person","1,580"
"2002M06","United Kingdom","Rejected","Total","Person","3,460"
"2002M06","Norway","Rejected","Total","Person",":"
"2002M07","Belgium","Rejected","Total","Person",":"
"2002M07","Bulgaria","Rejected","Total","Person","110"
"2002M07","Czech Republic","Rejected","Total","Person","430"
"2002M07","Denmark","Rejected","Total","Person",":"
"2002M07","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","5,535"
"2002M07","Estonia","Rejected","Total","Person","0"
"2002M07","Ireland","Rejected","Total","Person",":"
"2002M07","Greece","Rejected","Total","Person","715"
"2002M07","Spain","Rejected","Total","Person","570"
"2002M07","France","Rejected","Total","Person","4,040"
"2002M07","Italy","Rejected","Total","Person",":"
"2002M07","Cyprus","Rejected","Total","Person",":"
"2002M07","Latvia","Rejected","Total","Person","0"
"2002M07","Lithuania","Rejected","Total","Person","5"
"2002M07","Luxembourg","Rejected","Total","Person",":"
"2002M07","Hungary","Rejected","Total","Person","140"
"2002M07","Malta","Rejected","Total","Person","0"
"2002M07","Netherlands","Rejected","Total","Person","2,455"
"2002M07","Austria","Rejected","Total","Person","295"
"2002M07","Poland","Rejected","Total","Person","425"
"2002M07","Portugal","Rejected","Total","Person","5"
"2002M07","Romania","Rejected","Total","Person",":"
"2002M07","Slovenia","Rejected","Total","Person","15"
"2002M07","Slovakia","Rejected","Total","Person",":"
"2002M07","Finland","Rejected","Total","Person","145"
"2002M07","Sweden","Rejected","Total","Person","1,640"
"2002M07","United Kingdom","Rejected","Total","Person","4,760"
"2002M07","Norway","Rejected","Total","Person",":"
"2002M08","Belgium","Rejected","Total","Person",":"
"2002M08","Bulgaria","Rejected","Total","Person","215"
"2002M08","Czech Republic","Rejected","Total","Person","420"
"2002M08","Denmark","Rejected","Total","Person",":"
"2002M08","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","6,110"
"2002M08","Estonia","Rejected","Total","Person","0"
"2002M08","Ireland","Rejected","Total","Person",":"
"2002M08","Greece","Rejected","Total","Person",":"
"2002M08","Spain","Rejected","Total","Person","180"
"2002M08","France","Rejected","Total","Person","2,925"
"2002M08","Italy","Rejected","Total","Person",":"
"2002M08","Cyprus","Rejected","Total","Person",":"
"2002M08","Latvia","Rejected","Total","Person","0"
"2002M08","Lithuania","Rejected","Total","Person","5"
"2002M08","Luxembourg","Rejected","Total","Person",":"
"2002M08","Hungary","Rejected","Total","Person","165"
"2002M08","Malta","Rejected","Total","Person","10"
"2002M08","Netherlands","Rejected","Total","Person","2,355"
"2002M08","Austria","Rejected","Total","Person","250"
"2002M08","Poland","Rejected","Total","Person","230"
"2002M08","Portugal","Rejected","Total","Person","15"
"2002M08","Romania","Rejected","Total","Person",":"
"2002M08","Slovenia","Rejected","Total","Person","15"
"2002M08","Slovakia","Rejected","Total","Person",":"
"2002M08","Finland","Rejected","Total","Person","100"
"2002M08","Sweden","Rejected","Total","Person","1,680"
"2002M08","United Kingdom","Rejected","Total","Person","4,100"
"2002M08","Norway","Rejected","Total","Person",":"
"2002M09","Belgium","Rejected","Total","Person",":"
"2002M09","Bulgaria","Rejected","Total","Person","60"
"2002M09","Czech Republic","Rejected","Total","Person","465"
"2002M09","Denmark","Rejected","Total","Person",":"
"2002M09","Germany (until 1990 former territory of the FRG)","Rejected","Total","Person","6,095"
"2002M09","Estonia","Rejected","Total","Person","0"
"2002M09","Ireland","Rejected","Total","Person",":"
"2002M09","Greece","Rejected","Total","Person","235"
"2002M09","Spain","Rejected","Total","Person","175"
"2002M09","France","Rejected","Total","Person","3,570"
"2002M09","Italy","Rejected","Total","Person",":"
"2002M09","Cyprus","Rejected","Total","Person",":"
"2002M09","Latvia","Rejected","Total","Person","5"
"2002M09","Lithuania","Rejected","Total","Person","0"
"2002M09","Luxembourg","Rejected","Total","Person",":"
