"TIME","GEO","DECISION","CITIZEN","UNIT","Value"
"2002M04","France","Geneva Convention status","Total","Person","575"
"2002M04","Italy","Geneva Convention status","Total","Person",":"
"2002M04","Cyprus","Geneva Convention status","Total","Person",":"
"2002M04","Latvia","Geneva Convention status","Total","Person","0"
"2002M04","Lithuania","Geneva Convention status","Total","Person","0"
"2002M04","Luxembourg","Geneva Convention status","Total","Person",":"
"2002M04","Hungary","Geneva Convention status","Total","Person","15"
"2002M04","Malta","Geneva Convention status","Total","Person",":"
"2002M04","Netherlands","Geneva Convention status","Total","Person","10"
"2002M04","Austria","Geneva Convention status","Total","Person","125"
"2002M04","Poland","Geneva Convention status","Total","Person","20"
"2002M04","Portugal","Geneva Convention status","Total","Person","0"
"2002M04","Romania","Geneva Convention status","Total","Person",":"
"2002M04","Slovenia","Geneva Convention status","Total","Person","0"
"2002M04","Slovakia","Geneva Convention status","Total","Person",":"
"2002M04","Finland","Geneva Convention status","Total","Person","0"
"2002M04","Sweden","Geneva Convention status","Total","Person","20"
"2002M04","United Kingdom","Geneva Convention status","Total","Person","725"
"2002M04","Norway","Geneva Convention status","Total","Person",":"
"2002M05","Belgium","Geneva Convention status","Total","Person",":"
"2002M05","Bulgaria","Geneva Convention status","Total","Person","5"
"2002M05","Czech Republic","Geneva Convention status","Total","Person","10"
"2002M05","Denmark","Geneva Convention status","Total","Person",":"
"2002M05","Germany (until 1990 former territory of the FRG)","Geneva Convention status","Total","Person","520"
"2002M05","Estonia","Geneva Convention status","Total","Person","0"
"2002M05","Ireland","Geneva Convention status","Total","Person",":"
"2002M05","Greece","Geneva Convention status","Total","Person",":"
"2002M05","Spain","Geneva Convention status","Total","Person","10"
"2002M05","France","Geneva Convention status","Total","Person","415"
"2002M05","Italy","Geneva Convention status","Total","Person",":"
"2002M05","Cyprus","Geneva Convention status","Total","Person",":"
"2002M05","Latvia","Geneva Convention status","Total","Person","0"
"2002M05","Lithuania","Geneva Convention status","Total","Person","0"
"2002M05","Luxembourg","Geneva Convention status","Total","Person",":"
"2002M05","Hungary","Geneva Convention status","Total","Person","10"
"2002M05","Malta","Geneva Convention status","Total","Person",":"
"2002M05","Netherlands","Geneva Convention status","Total","Person","20"
"2002M05","Austria","Geneva Convention status","Total","Person","65"
"2002M05","Poland","Geneva Convention status","Total","Person","25"
"2002M05","Portugal","Geneva Convention status","Total","Person","0"
"2002M05","Romania","Geneva Convention status","Total","Person",":"
"2002M05","Slovenia","Geneva Convention status","Total","Person","0"
"2002M05","Slovakia","Geneva Convention status","Total","Person",":"
"2002M05","Finland","Geneva Convention status","Total","Person","0"
"2002M05","Sweden","Geneva Convention status","Total","Person","15"
"2002M05","United Kingdom","Geneva Convention status","Total","Person","615"
"2002M05","Norway","Geneva Convention status","Total","Person",":"
